,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,2.0,109.0,107.0,107.0,103.0,101.0,94.0,94.0,92.0,85.0,82.0,78.0,75.0,77.0,73.0,73.0,74.0,72.0,75.0,74.0,76.0,82.0,85.0,91.0,96.0,101.0,105.0,104.0,104.0,110.0,110.0,108.0,109.0,109.0,111.0,104.0,101.0,99.0,96.0,101.0,105.0,103.0,107.0,113.0,116.0,117.0,121.0,127.0,132.0,135.0,139.0,140.0,142.0,141.0,136.0,136.0,135.0,137.0,131.0,129.0,129.0,132.0,127.0,,,,
0,3.0,46.0,46.0,43.0,44.0,42.0,40.0,41.0,41.0,42.0,42.0,41.0,43.0,41.0,41.0,42.0,40.0,39.0,39.0,38.0,39.0,40.0,39.0,41.0,40.0,40.0,39.0,38.0,39.0,41.0,41.0,41.0,40.0,42.0,45.0,45.0,44.0,45.0,45.0,44.0,46.0,44.0,47.0,46.0,46.0,45.0,43.0,43.0,45.0,45.0,45.0,47.0,44.0,44.0,42.0,44.0,45.0,44.0,43.0,43.0,42.0,42.0,42.0,41.0,43.0,,
0,4.0,74.0,75.0,77.0,76.0,75.0,75.0,74.0,74.0,73.0,76.0,74.0,72.0,70.0,69.0,69.0,68.0,65.0,65.0,64.0,64.0,65.0,62.0,62.0,63.0,62.0,64.0,68.0,69.0,73.0,74.0,78.0,78.0,79.0,79.0,80.0,78.0,77.0,77.0,75.0,75.0,73.0,70.0,67.0,68.0,67.0,67.0,68.0,71.0,73.0,74.0,71.0,71.0,73.0,75.0,75.0,74.0,75.0,78.0,77.0,76.0,76.0,74.0,76.0,71.0,,
0,5.0,51.0,51.0,51.0,53.0,60.0,61.0,59.0,59.0,58.0,58.0,58.0,59.0,59.0,59.0,58.0,56.0,50.0,49.0,50.0,52.0,52.0,53.0,55.0,53.0,55.0,55.0,57.0,60.0,57.0,58.0,57.0,55.0,55.0,56.0,54.0,54.0,55.0,56.0,55.0,51.0,52.0,53.0,53.0,53.0,53.0,51.0,51.0,55.0,53.0,53.0,55.0,54.0,54.0,54.0,53.0,52.0,52.0,54.0,54.0,50.0,51.0,49.0,47.0,46.0,,
0,6.0,66.0,63.0,63.0,61.0,60.0,60.0,63.0,63.0,64.0,63.0,64.0,63.0,62.0,64.0,63.0,64.0,63.0,64.0,61.0,62.0,62.0,63.0,65.0,66.0,66.0,66.0,66.0,67.0,68.0,67.0,66.0,66.0,65.0,65.0,64.0,61.0,60.0,61.0,61.0,63.0,62.0,63.0,62.0,62.0,61.0,61.0,58.0,60.0,59.0,57.0,57.0,54.0,53.0,51.0,51.0,51.0,52.0,52.0,52.0,51.0,52.0,52.0,51.0,49.0,,
0,7.0,93.0,89.0,91.0,89.0,90.0,89.0,90.0,90.0,91.0,91.0,92.0,91.0,91.0,93.0,90.0,91.0,89.0,89.0,88.0,88.0,88.0,86.0,87.0,87.0,85.0,84.0,85.0,85.0,86.0,87.0,87.0,87.0,88.0,87.0,87.0,86.0,87.0,88.0,87.0,88.0,89.0,88.0,89.0,90.0,90.0,93.0,93.0,94.0,93.0,92.0,93.0,93.0,91.0,91.0,89.0,88.0,87.0,86.0,84.0,84.0,84.0,84.0,87.0,82.0,,
0,8.0,56.0,57.0,56.0,56.0,55.0,55.0,55.0,57.0,55.0,55.0,57.0,57.0,58.0,58.0,59.0,60.0,60.0,60.0,60.0,58.0,58.0,58.0,58.0,58.0,59.0,61.0,61.0,60.0,60.0,59.0,58.0,60.0,59.0,61.0,61.0,63.0,62.0,59.0,58.0,60.0,61.0,62.0,64.0,63.0,65.0,63.0,62.0,62.0,63.0,64.0,63.0,62.0,60.0,58.0,57.0,57.0,55.0,57.0,57.0,56.0,54.0,53.0,53.0,,,
0,9.0,59.0,62.0,64.0,64.0,64.0,64.0,64.0,63.0,62.0,61.0,60.0,60.0,59.0,58.0,57.0,56.0,56.0,54.0,54.0,53.0,51.0,53.0,55.0,55.0,56.0,53.0,54.0,56.0,55.0,54.0,55.0,56.0,58.0,58.0,59.0,57.0,57.0,58.0,58.0,57.0,59.0,60.0,60.0,63.0,63.0,64.0,63.0,64.0,64.0,65.0,66.0,66.0,66.0,64.0,64.0,62.0,60.0,60.0,60.0,61.0,61.0,60.0,58.0,55.0,,
0,10.0,71.0,72.0,72.0,69.0,69.0,67.0,66.0,66.0,66.0,67.0,67.0,67.0,67.0,67.0,66.0,67.0,67.0,70.0,70.0,71.0,70.0,70.0,71.0,72.0,71.0,72.0,71.0,71.0,71.0,70.0,70.0,70.0,70.0,70.0,69.0,70.0,70.0,69.0,69.0,68.0,67.0,68.0,68.0,67.0,65.0,65.0,65.0,64.0,66.0,66.0,66.0,67.0,68.0,67.0,68.0,68.0,70.0,70.0,69.0,71.0,69.0,70.0,70.0,67.0,,
0,11.0,48.0,49.0,51.0,52.0,53.0,52.0,53.0,52.0,51.0,52.0,53.0,52.0,52.0,51.0,50.0,49.0,51.0,52.0,50.0,51.0,51.0,51.0,51.0,54.0,54.0,54.0,54.0,55.0,52.0,52.0,51.0,51.0,51.0,50.0,51.0,49.0,48.0,49.0,49.0,50.0,50.0,50.0,51.0,51.0,50.0,52.0,51.0,52.0,53.0,52.0,53.0,52.0,50.0,52.0,52.0,53.0,54.0,53.0,53.0,52.0,52.0,52.0,50.0,,,
